participantcode,std_female,gpa,prior_num_guess,post_num_guess,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,orig_correct,fn_correct,answers_correct,std_male,female_r1,female_r2,female_r3,extrovert,agreeable,conscientious,neurotic,open,riskaversion,wtp,I,overconfidence,underconfidence,overoptimism,uncertainty1,uncertainty2,prior_minus_orig,wtpcategory,prior_downside1,post_downside,updates,gradeup_s0,gradedown_s0,betteroff_s0,worseoff_s0,gradeup_s1,gradedown_s1,betteroff_s1,worseoff_s1,gradeup_s2,gradedown_s2,betteroff_s2,worseoff_s2,gradeup_s3,gradedown_s3,betteroff_s3,worseoff_s3,gradeup_s4,gradedown_s4,betteroff_s4,worseoff_s4,gradeup_s5,gradedown_s5,betteroff_s5,worseoff_s5,gradeup_s6,gradedown_s6,betteroff_s6,worseoff_s6,gradeup_s7,gradedown_s7,betteroff_s7,worseoff_s7,gradeup_s8,gradedown_s8,betteroff_s8,worseoff_s8,gradeup_s9,gradedown_s9,betteroff_s9,worseoff_s9,irrational,everasked,num_asked,num_asked_imp
y1sj3pp4,0,2,15,15,0,0,0,0,0,1,1,1,1,1,13,13,15,1,NA,NA,NA,2,3.5,3,1.5,3,0.20000000298023224,1,1,0.6499999761581421,0.22285714745521545,0,0.6000000238418579,3.759999990463257,2,0,0.6000000238418579,0.30000001192092896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
5v3cuvm1,0,3.9000000953674316,10,8,0,0,0,0,0,0,0,0,1,1,6,6,7,1,NA,NA,NA,1.5,2.5,4.5,2.5,4.5,0.20000000298023224,-0.5,0,0.38846153020858765,0.30000001192092896,3,0.6000000238418579,4.989999771118164,4,-1,0.550000011920929,0.25,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
xvasfy5p,0,3.799999952316284,15,15,0,0,0,0,0,0,0,0,0,0,15,15,16,1,NA,NA,NA,2,2,3.5,3,4,0.20000000298023224,-1.5,0,0.4749999940395355,0.23999999463558197,-1,0.75,9.1875,0,-1,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hu5fv6jn,0,3,18,18,0,0,0,0,0,1,1,1,1,1,16,17,17,1,NA,NA,NA,3,3,2.5,4,3.5,0.5249999761581421,1,1,1,0,1,0.5,4.409999847412109,2,1,0.30000001192092896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
f3ccv1s2,0,2.700000047683716,14,14,1,1,1,1,1,1,1,1,1,1,11,13,13,1,1,0,1,3.5,3,3,4,3.5,0.20000000298023224,3.5,1,0.3928571343421936,0.2750000059604645,1,0.3499999940395355,4.727499961853027,3,1,0.15000000596046448,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
k8t7w8gn,0,3.700000047683716,13,15,0,0,0,0,0,0,0,0,0,0,14,14,15,1,0,1,NA,2.5,3,3.5,3,4.5,1.3350000381469727,-1.5,0,0.8500000238418579,0.1607142835855484,-2,0.8999999761581421,7.900000095367432,-1,-1,0.800000011920929,0.30000001192092896,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
wvv56etc,0,3.8399999141693115,12,13,0,0,0,0,0,0,0,1,1,1,12,12,15,1,0,0,NA,2.5,2.5,3.5,4.5,5,0.5249999761581421,0,0,0.5120000243186951,0.1492857187986374,-3,0.6000000238418579,7.309999942779541,0,-1,0.4000000059604645,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
fes3076a,0,3.1500000953674316,16,15,0,0,0,0,0,1,1,1,1,1,14,14,14,1,0,NA,NA,3,3,4.5,1.5,4.5,2,1,1,0.5416666865348816,0.08461538702249527,2,0.4000000059604645,3.509999990463257,2,1,0.15000000596046448,0.10000000149011612,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1
4yygqpuq,0,3.4000000953674316,18,14,0,0,0,0,0,0,0,0,0,1,13,13,15,1,0,NA,NA,3,3,3,3,3,0.20000000298023224,-1,0,0.5799999833106995,0.05000000074505806,3,0.20000000298023224,1.7999999523162842,5,-1,0.10000000149011612,0,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1
1u4k1ktn,0,2.5999999046325684,14,12,0,0,0,0,0,0,0,1,1,1,10,10,10,1,NA,NA,NA,3,4,4,3.5,3,2,0,0,0.22499999403953552,0.7777777910232544,4,0.6000000238418579,7.389999866485596,4,0,0.44999998807907104,0.5,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
itccgygd,0,3.6700000762939453,8,10,0,0,0,0,0,0,0,0,0,0,8,8,10,1,NA,NA,NA,2.5,4,4,3.5,4,0.20000000298023224,-1.5,0,0.25,0.5166666507720947,-2,0.5,6.409999847412109,0,-1,0.3499999940395355,0.44999998807907104,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jmbmuhbp,0,3,18,18,0,0,0,0,0,0,1,1,1,1,12,12,13,1,NA,NA,NA,2,4,3,3,2.5,1.3350000381469727,0.5,1,0.7857142686843872,0,5,0.30000001192092896,3.009999990463257,6,0,0.25,0.6000000238418579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
3ch17w9m,0,3.200000047683716,17,15,1,1,1,1,1,1,1,1,1,1,13,14,14,1,1,NA,NA,2,2,4,3,5,0.20000000298023224,3.5,1,0.6666666865348816,0.13153846561908722,3,0.5,3.690000057220459,4,1,0.4000000059604645,0,-2,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
vzjuf47k,0,3.869999885559082,19,19,0,0,0,0,0,0,0,1,1,1,18,18,19,1,NA,NA,NA,3,4,3,4,3.5,0.20000000298023224,0,0,0.5,0.07222222536802292,0,0.10000000149011612,0.8100000023841858,1,-1,0.10000000149011612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
p2zr0fo2,0,3,12,11,0,0,0,0,0,0,0,1,1,1,10,10,12,1,NA,NA,NA,4.5,2.5,4,2,3.5,0.20000000298023224,0,0,0.44999998807907104,0.20454545319080353,0,0.20000000298023224,1.440000057220459,2,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
lajxsrx4,0,3,14,14,0,0,0,0,0,0,0,0,1,1,14,14,14,1,0,1,0,4,4.5,3,2,3.5,0.20000000298023224,-0.5,0,0.34166666865348816,7.692307699471712e-4,0,0.4000000059604645,2.1600000858306885,0,-1,0.4000000059604645,0.05000000074505806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,2,2.553333282470703
nvymfq94,0,4,17,15,0,0,0,0,0,1,1,1,1,1,13,13,16,1,0,NA,NA,3.5,3.5,3.5,2,3.5,0.20000000298023224,1,1,1,0.05000000074505806,1,0.25,1.6875,4,-1,0.25,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
vcgl5gh9,0,3.4000000953674316,18,14,1,1,1,1,1,1,1,1,1,1,11,13,13,1,1,0,1,3,2.5,5,3,3.5,0.20000000298023224,3.5,1,0.7214285731315613,0.0416666679084301,5,0.4000000059604645,3.4000000953674316,7,1,0.3499999940395355,0.15000000596046448,-4,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2,2
eeba0ftz,0,3.200000047683716,13,15,0,0,0,0,0,0,1,1,1,1,15,16,16,1,0,1,0,3.5,3.5,3.5,3.5,3,1.3350000381469727,0.5,1,0.2750000059604645,0.2199999988079071,-3,0.5,4.139999866485596,-2,-1,0.15000000596046448,0.10000000149011612,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,2.0426666736602783
og5jckjw,0,3.9100000858306885,12,10,0,0,0,0,0,0,1,1,1,1,10,10,12,1,1,1,1,5,3.5,5,1.5,2,0.20000000298023224,0.5,1,0.4000000059604645,0.10909091681241989,0,0.699999988079071,4.050000190734863,2,-1,0.6000000238418579,0.20000000298023224,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,3,2.553333282470703
5dgai5vv,0,3.200000047683716,14,12,0,0,0,0,0,0,1,1,1,0,11,11,13,1,NA,NA,NA,3,3,3.5,3.5,3.5,1.3350000381469727,0.5,1,0.3928571343421936,0.2916666567325592,1,0.20000000298023224,1.7999999523162842,3,-1,0.10000000149011612,0.30000001192092896,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
v04a1r1u,0,3.5999999046325684,18,18,0,0,0,0,0,0,1,1,1,1,16,16,18,1,0,NA,NA,3,2.5,4.5,2.5,4.5,0.20000000298023224,0.5,1,0.375,0.1541176438331604,0,0.18000000715255737,1.6164000034332275,2,-1,0.07999999821186066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
uy9v2d9b,0,3.4000000953674316,18,17,0,0,0,0,0,0,0,0,1,1,16,17,17,1,1,1,NA,1.5,3.5,2.5,4.5,5,0.20000000298023224,-0.5,0,0.25,0.19687500596046448,1,0.699999988079071,5.889999866485596,2,-1,0.6000000238418579,0.44999998807907104,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,2
5st1zwjh,0,3.700000047683716,15,12,0,0,0,1,1,1,1,1,1,1,10,10,12,1,0,0,1,3.5,3,5,1.5,3,0.20000000298023224,2,1,0.75,0,3,0.15000000596046448,1.1475000381469727,5,-1,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2,2.0426666736602783
icfyv89k,0,2.75,4,8,0,0,0,0,0,1,1,1,1,1,10,10,10,1,NA,NA,NA,3.5,4.5,4,3,4.5,1.3350000381469727,1,1,0.5,0.3166666626930237,-6,0.550000011920929,3.547499895095825,-6,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
fgfjfkzn,0,3.0299999713897705,13,11,0,0,0,0,0,0,0,1,1,1,9,9,9,1,0,0,NA,3,4,3.5,3,4,2,0,0,0.8636363744735718,0.22499999403953552,4,1,17.600000381469727,4,0,0.6000000238418579,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
meculhpp,0,2.799999952316284,16,13,0,0,0,0,0,1,1,1,1,1,11,11,14,1,1,NA,NA,3.5,3,2.5,3,4,0.5249999761581421,1,1,0.5666666626930237,0.03846153989434242,2,0.4000000059604645,3.509999990463257,5,-1,0.15000000596046448,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
x7lcled1,0,2.799999952316284,11,7,0,0,0,1,0,1,0,1,1,1,5,5,6,1,NA,NA,NA,3.5,3.5,3,3,3.5,1.3350000381469727,2,1,0.4714285731315613,0.3100000023841858,5,0.8999999761581421,7.900000095367432,6,-1,0.800000011920929,0.800000011920929,-4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0
p2e46y5p,0,3.4000000953674316,15,13,0,0,0,0,0,1,1,1,1,1,11,13,13,1,NA,NA,NA,3,4,4,3,3,0.5249999761581421,1,1,0.5214285850524902,0.20416666567325592,2,0.4000000059604645,5.110000133514404,4,0,0.25,0.20000000298023224,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
frjdl5ua,0,3,14,16,0,0,0,0,0,0,0,1,1,1,17,17,18,1,0,0,0,1.5,3,3,4.5,3.5,2,0,0,0.824999988079071,0.12999999523162842,-4,0.5,7.610000133514404,-3,-1,0.20000000298023224,0.699999988079071,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
24pcwjh2,0,2.446000099182129,14,14,0,0,0,0,0,0,0,0,1,1,12,12,14,1,1,NA,NA,3.5,3,3,1.5,4.5,0.20000000298023224,-0.5,0,0.36666667461395264,0.2461538463830948,0,0.20000000298023224,3.4000000953674316,2,-1,0.10000000149011612,0.05000000074505806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,1,1
huqjoozn,0,2.690000057220459,12,12,1,1,0,0,0,0,0,0,0,0,10,11,11,1,0,0,NA,2.5,5,5,1.5,4,0.20000000298023224,3.5,1,0.7111111283302307,0.07999999821186066,1,0.800000011920929,2.559999942779541,2,1,0.800000011920929,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
shkvtfi7,0,3.9800000190734863,20,20,0,0,0,0,0,1,1,1,1,1,18,20,20,1,1,1,NA,2.5,4,2.5,3.5,2.5,0.5249999761581421,1,1,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
tibaqkjc,0,3.0999999046325684,13,12,0,0,0,0,0,0,0,0,0,1,13,13,14,1,0,1,0,3,4.5,4,4.5,3.5,0.5249999761581421,-1,0,0.6883333325386047,0.21153846383094788,-1,0.4000000059604645,3.240000009536743,0,-1,0.10000000149011612,0.5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3,3
ti8f24lw,0,3.200000047683716,14,12,0,0,0,0,0,0,0,0,0,0,11,11,10,1,NA,NA,NA,3.5,3.5,4,4,4,0.5249999761581421,-1.5,0,0.3499999940395355,0.21666666865348816,4,0.4000000059604645,3.990000009536743,3,1,0.3499999940395355,0.25,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s0qtuerx,0,3.9200000762939453,15,15,0,0,0,0,0,0,0,0,0,1,14,14,14,1,0,0,0,2.5,3,5,3,2.5,0.20000000298023224,-1,0,0.4166666567325592,0.09615384787321091,1,0.5,4.5,1,-1,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2.553333282470703
bdzzut3p,0,2.200000047683716,10,11,0,0,0,0,0,1,1,1,1,1,11,11,14,1,1,0,NA,3,3,3.5,3,3,0.20000000298023224,1,1,0.25,0.13461539149284363,-4,0.4000000059604645,5.110000133514404,-1,-1,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1
8gslrzsu,0,3.700000047683716,16,9,0,0,0,0,0,0,0,0,0,0,9,9,12,1,1,0,NA,4.5,3,3.5,1.5,3.5,0.20000000298023224,-1.5,0,0.800000011920929,0,4,0.3499999940395355,3.127500057220459,7,-1,0.15000000596046448,0.30000001192092896,-7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
luqmms9m,0,3.5999999046325684,14,10,0,0,0,0,0,1,1,1,1,1,9,9,11,1,NA,NA,NA,2.5,3.5,4,2.5,3,0.20000000298023224,1,1,0.5611110925674438,0.20000000298023224,3,0.4000000059604645,5.199999809265137,5,-1,0.20000000298023224,0.30000001192092896,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
9njbi09g,0,3,17,15,0,0,0,1,1,1,1,1,1,1,13,16,16,1,NA,NA,NA,2,3.5,3,4,5,0.20000000298023224,2,1,0.75,0.06666667014360428,1,0,0,4,-1,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
omcz3plf,0,3.299999952316284,14,13,0,0,0,0,0,0,0,0,1,1,11,11,13,1,NA,NA,NA,1.5,5,1.5,5,3,0.5249999761581421,-0.5,0,0.34714287519454956,0.13333334028720856,1,0.550000011920929,6.627500057220459,3,-1,0.4000000059604645,0.4000000059604645,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0
71r9jucv,0,2.5,15,11,0,0,0,0,0,0,1,1,1,1,10,11,11,1,NA,NA,NA,3,4,3.5,4,2.5,2,0.5,1,0.39444443583488464,0.3100000023841858,4,0.5,2.25,5,-1,0,0.30000001192092896,-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0
