participantcode,round,std_female,std_standing,consider_regrade,num_class,control,regret3,regret4,asked,std_male,everasked,num_asked,num_asked_imp,everasked_mt,num_asked_mt,ratio_asked_mt,everasked_fn,num_asked_fn,ratio_asked_fn,orig_ngrade,fn_ngrade,part_up,part_down,posgradechange,neggradechange,O10,O11,O12,O13,O14,O15,O16,O17,O18,O19,O23,O24,O25,O26,O30,O31,O32,O33,O34,O35,O36,O37,stress,pr_up,pr_same,pr_down
0cyopiav,2,1,4,NA,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,25,0
0cyopiav,3,1,4,NA,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,25,0
0d2ngpoh,1,1,3,No,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,45,55,0
0d2ngpoh,2,1,3,NA,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,55,0
0d2ngpoh,3,1,3,NA,0,6,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,55,0
0d63m6ks,1,0,3,No,0,6,1,1,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,5,10,90,0
0d63m6ks,2,0,3,NA,0,6,1,1,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,90,0
0d63m6ks,3,0,3,NA,0,6,1,1,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,90,0
0d956ls4,1,0,3,No,0,5,2,2,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,5,25,50,25
0d956ls4,2,0,3,NA,0,5,2,2,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,50,25
0d956ls4,3,0,3,NA,0,5,2,2,NA,1,0,0,0,0,0,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,25,50,25
0ee09tyx,1,1,2,Yes,1,7,1,1,No,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,3,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,0,100,0
0ee09tyx,2,1,2,NA,1,7,1,1,NA,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,0
0ee09tyx,3,1,2,NA,1,7,1,1,NA,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,100,0
0eplm4q6,1,0,4,Yes,2,5,1,1,Yes,1,1,1,2,1,1,0.3779761791229248,0,0,0.1949404776096344,3,3.3340001106262207,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,4.5,100,0,0
0eplm4q6,2,0,4,NA,2,5,1,1,No,1,1,1,2,1,1,0.3779761791229248,0,0,0.1949404776096344,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,4.5,100,0,0
0eplm4q6,3,0,4,NA,2,5,1,1,NA,1,1,1,2,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,100,0,0
0g7cfi1r,1,1,2,Yes,1,4,2,3,Yes,0,1,1,1,1,1,0.3982639014720917,1,1,0.2152777761220932,3.6670000553131104,3.6670000553131104,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,7,45,55,0
0g7cfi1r,2,1,2,NA,1,4,2,3,NA,0,1,1,1,1,1,0.3982639014720917,1,1,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,55,0
0g7cfi1r,3,1,2,NA,1,4,2,3,NA,0,1,1,1,1,1,0.3982639014720917,1,1,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,45,55,0
0h115pmr,1,1,3,No,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,6,20,80,0
0h115pmr,2,1,3,NA,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,80,0
0h115pmr,3,1,3,NA,0,5,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,20,80,0
0hp6rcjg,1,1,3,Yes,2,5,1,1,No,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,2.3340001106262207,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,5.5,5,90,5
0hp6rcjg,2,1,3,NA,2,5,1,1,No,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,2.6670000553131104,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.5,5,90,5
0hp6rcjg,3,1,3,NA,2,5,1,1,NA,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,5,90,5
0ic3l6qp,1,1,3,Yes,1,6,1,6,Yes,0,1,1,1,0,0,0.3982639014720917,1,1,0.2152777761220932,3,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,75,25,0
0ic3l6qp,2,1,3,NA,1,6,1,6,NA,0,1,1,1,0,0,0.3982639014720917,1,1,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,25,0
0ic3l6qp,3,1,3,NA,1,6,1,6,NA,0,1,1,1,0,0,0.3982639014720917,1,1,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,75,25,0
0jw9d31h,1,1,3,Yes,1,2,3,3,Yes,0,1,1,1,1,1,0.3982639014720917,0,0,0.2152777761220932,4,4,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,5,95,0,5
0jw9d31h,2,1,3,NA,1,2,3,3,NA,0,1,1,1,1,1,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,5
0jw9d31h,3,1,3,NA,1,2,3,3,NA,0,1,1,1,1,1,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,95,0,5
0nwubd3c,1,1,4,Yes,3,1,1,1,No,0,1,2,3,1,1,0.3982639014720917,1,1,0.2152777761220932,1,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,6,48.33333206176758,51.66666793823242,0
0nwubd3c,2,1,4,NA,3,1,1,1,Yes,0,1,2,3,1,1,0.3982639014720917,1,1,0.2152777761220932,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48.33333206176758,51.66666793823242,0
0nwubd3c,3,1,4,NA,3,1,1,1,Yes,0,1,2,3,1,1,0.3982639014720917,1,1,0.2152777761220932,3,3.6670000553131104,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,48.33333206176758,51.66666793823242,0
0oi9oe1v,1,1,1,No,0,4,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,7,10,80,10
0oi9oe1v,2,1,1,NA,0,4,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,80,10
0oi9oe1v,3,1,1,NA,0,4,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,80,10
0qwrpr74,1,1,2,Yes,2,6,1,1,No,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,3.3340001106262207,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,5.5,50,50,0
0qwrpr74,2,1,2,NA,2,6,1,1,No,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,3.3340001106262207,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5.5,50,50,0
0qwrpr74,3,1,2,NA,2,6,1,1,NA,0,0,0,2,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5,50,50,0
0rcnxlin,1,1,2,No,0,2,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0
0rcnxlin,2,1,2,NA,0,2,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0
0rcnxlin,3,1,2,NA,0,2,1,1,NA,0,0,0,0,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,100,0,0
0u9l5j8a,1,0,4,Yes,2,4,1,1,Yes,1,1,2,2,0,0,0.3779761791229248,1,2,0.1949404776096344,3.3340001106262207,3.3340001106262207,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6.5,87.5,12.5,0
0u9l5j8a,2,0,4,NA,2,4,1,1,Yes,1,1,2,2,0,0,0.3779761791229248,1,2,0.1949404776096344,3,3,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.5,87.5,12.5,0
0u9l5j8a,3,0,4,NA,2,4,1,1,NA,1,1,2,2,0,0,0.3779761791229248,1,2,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.5,87.5,12.5,0
0utopoaf,1,1,4,Yes,1,4,1,1,Yes,0,1,1,1,0,0,0.3982639014720917,1,1,0.2152777761220932,3,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,100,0,0
0utopoaf,2,1,4,NA,1,4,1,1,NA,0,1,1,1,0,0,0.3982639014720917,1,1,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
0utopoaf,3,1,4,NA,1,4,1,1,NA,0,1,1,1,0,0,0.3982639014720917,1,1,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,0,0
0way1hj1,1,1,1,Yes,1,5,5,5,No,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,3.6670000553131104,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,7,20,80,0
0way1hj1,2,1,1,NA,1,5,5,5,NA,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,80,0
0way1hj1,3,1,1,NA,1,5,5,5,NA,0,0,0,1,0,0,0.3982639014720917,0,0,0.2152777761220932,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,20,80,0
0x8lhjez,1,0,2,Yes,1,3,1,1,Yes,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,3,2.6670000553131104,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,2,99,1,0
0x8lhjez,2,0,2,NA,1,3,1,1,NA,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,1,0
0x8lhjez,3,0,2,NA,1,3,1,1,NA,1,1,1,1,1,1,0.3779761791229248,0,0,0.1949404776096344,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,99,1,0
